InventoryID,Glottocode,ISO6393,LanguageName,SpecificDialect,GlyphID,Phoneme,Allophones,Marginal,SegmentClass,Source,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
1546,rong1268,rng,Ronga,NA,0070+0073+02B7+02B0,psʷʰ,psʷʰ,FALSE,consonant,gm,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,-,+,"-,+",-,"-,+",+,-,+,-,0,0,0,0,0,0,0,-,-,"-,+",-,-,-,-,-
1546,rong1268,rng,Ronga,NA,0256+0290+02B7,ɖʐʷ,ɖʐʷ,FALSE,consonant,gm,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,+,-,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
1546,rong1268,rng,Ronga,NA,026C+02B7,ɬʷ,ɬʷ,FALSE,consonant,gm,0,-,-,-,-,+,-,+,+,-,-,-,-,+,+,+,-,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
1546,rong1268,rng,Ronga,NA,0288+0282+02B7,ʈʂʷ,ʈʂʷ,FALSE,consonant,gm,0,-,-,-,-,+,-,-,+,-,-,-,-,-,+,+,-,+,-,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
1546,rong1268,rng,Ronga,NA,0290+02B7,ʐʷ,ʐʷ,FALSE,consonant,gm,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,+,-,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
1548,sout2790,biv,Birifor,NA,006C+02C0,lˀ,lˀ,TRUE,consonant,gm,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-
1550,atti1239,ati,Attie,NA,02E5+02E8,˥˨,˥˨,FALSE,tone,gm,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1564,reun1238,rcf,Reunionnais,NA,0064+033A,d̺,d̺,FALSE,consonant,gm,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
1564,reun1238,rcf,Reunionnais,NA,0064+033A+02D0,d̺ː,d̺ː,FALSE,consonant,gm,0,-,-,-,+,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
1564,reun1238,rcf,Reunionnais,NA,0074+033A+02D0,t̺ː,t̺ː,FALSE,consonant,gm,0,-,-,-,+,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
1564,reun1238,rcf,Reunionnais,NA,007A+033A,z̺,z̺,FALSE,consonant,gm,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
1564,reun1238,rcf,Reunionnais,NA,0065+0308,ë,ë,FALSE,vowel,gm,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,0,-,0,-,-,+,-,-,-,0,-,-,0
1564,reun1238,rcf,Reunionnais,NA,0069+0308,ï,ï,FALSE,vowel,gm,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,0,-,0,-,-,+,-,-,-,0,-,-,0
1567,nucl1696,tan,Tangale,NA,0064+032A+031A,d̪̚,d̪̚,FALSE,consonant,gm,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
1568,suku1261,suk,Sukuma,NA,006D+0324+0070+02B0,m̤pʰ,m̤pʰ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,"+,-",-,+,-,-,-,-,-
1568,suku1261,suk,Sukuma,NA,006D+0324+02B1,m̤ʱ,m̤ʱ,FALSE,consonant,gm,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
1568,suku1261,suk,Sukuma,NA,006E+0324+0073,n̤s,n̤s,FALSE,consonant,gm,0,-,-,-,-,+,"+,-","-,+",+,-,-,-,"+,-",-,-,0,0,+,+,-,"-,+",-,0,0,0,0,0,0,0,"+,-",-,"+,-",-,-,-,-,-
1568,suku1261,suk,Sukuma,NA,006E+0324+0074+02B0,n̤tʰ,n̤tʰ,FALSE,consonant,gm,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,"+,-",-,+,-,-,-,-,-
