"","lang_code","percentiles"
"1","be",1
"2","cni",0.987
"3","id",0.996
"4","ka",1
"5","ko",0.996
"6","kup",1
"7","kyz",0.998
"8","mk",0.997
"9","mnb",0.994
"10","pib",0.989
"11","tg",0.988
