"","lang_code","percentiles"
"1","bug",0.981
"2","chm",0.995
"3","dyo",1
"4","ghs",0.995
"5","hsb",0.996
"6","ka",1
"7","kup",1
"8","mg",0.989
"9","mt",1
"10","omw",0.984
"11","pib",0.986
"12","shi",1
"13","sm",0.988
"14","ug",0.976
"15","viv",0.989
