"","lang_code","percentiles"
"1","aak",0.981
"2","be",1
"3","bg",0.977
"4","chm",0.997
"5","cni",0.995
"6","dyo",1
"7","ka",1
"8","ko",0.988
"9","kup",1
"10","kyz",0.998
"11","mk",0.995
"12","mnb",0.992
"13","omw",0.976
"14","pib",0.996
